"Season","TeamName","Tempo","RankTempo","AdjTempo","RankAdjTempo","OE","RankOE","AdjOE","RankAdjOE","DE","RankDE","AdjDE","RankAdjDE","AdjEM","RankAdjEM"
"2025","Delaware",70.8888,59,70.1636,46,108.52,119,108.933,131,111.169,296,115.085,332,-6.15186,237
"2025","Delaware St.",70.1414,92,69.0373,79,100.615,279,99.5644,302,110.804,291,112.273,288,-12.7091,310
"2025","Denver",68.1121,200,65.7034,248,100.367,281,98.4831,315,115.267,343,115.551,337,-17.0684,343
"2025","DePaul",68.3574,184,67.0822,184,107.552,142,109.928,118,106.956,209,106.894,177,3.03334,128
"2025","Detroit Mercy",67.3749,229,66.2686,224,93.9841,347,94.5825,352,110.801,290,110.664,257,-16.0811,332
"2025","Drake",60.6231,364,59.0718,364,112.79,59,111.224,93,98.2444,47,100.075,65,11.149,74
"2025","Drexel",64.6969,338,62.9347,349,104.621,196,102.389,246,101.663,93,104.709,134,-2.32013,198
"2025","Duke",66.5088,276,65.6524,250,120.551,6,122.907,7,89.4841,3,87.5857,3,35.3212,3
"2025","Duquesne",64.945,333,63.9024,329,103.604,221,105.789,191,102.745,113,103.838,117,1.9519,143
"2025","East Carolina",67.1136,243,65.935,235,106.094,175,106.153,182,104.195,146,105.205,144,0.948438,156
"2025","East Tennessee St.",66.9822,251,65.9845,233,110.625,84,107.872,154,102.333,104,105.094,142,2.7774,133
"2025","East Texas A&M",68.7647,167,67.5793,163,92.5958,353,94.8814,349,111.383,302,112.266,287,-17.3846,347
"2025","Eastern Illinois",67.3752,228,65.7138,247,93.6713,350,94.2997,355,109.166,256,111.682,278,-17.3819,346
"2025","Eastern Kentucky",68.7812,165,68.2272,124,106.718,162,106.385,180,111.624,305,112.632,298,-6.24756,238
"2025","Eastern Michigan",69.1655,141,67.8622,146,104.943,192,103.118,231,113.455,327,114.432,322,-11.3145,299
"2025","Eastern Washington",68.6559,173,66.8512,197,101.835,260,102.883,235,112.394,315,111.998,283,-9.11501,273
"2025","Elon",65.6171,317,64.3006,319,109.831,93,108.254,141,104.524,154,106.927,178,1.32736,151
"2025","Evansville",67.2025,237,66.373,219,94.1744,346,96.1987,342,105.689,184,104.788,136,-8.58912,263
"2025","Fairfield",65.6788,313,65.3401,265,101.873,258,101.565,262,113.472,328,117.468,350,-15.9034,331
"2025","Fairleigh Dickinson",69.4726,127,69.0208,81,100.591,280,99.9942,294,111.091,295,112.713,301,-12.7192,311
"2025","FIU",70.2686,88,68.9558,84,98.9017,303,98.0717,323,103.887,136,105.777,156,-7.70516,252
"2025","Florida",70.7925,62,69.0589,78,120.418,7,125.433,2,92.4403,7,94.3028,15,31.1298,4
"2025","Florida A&M",69.582,122,68.3284,116,93.1576,351,95.5462,345,114.206,335,112.495,292,-16.9487,342
"2025","Florida Atlantic",71.1417,50,69.871,53,108.363,124,112.049,80,109.112,254,107.996,207,4.05212,115
"2025","Florida Gulf Coast",65.48,323,64.8106,288,107.226,147,107.104,166,104.336,149,106.571,171,0.533084,164
"2025","Florida St.",71.307,47,69.5987,59,108.453,123,111.372,89,99.4929,62,99.4508,56,11.9207,69
"2025","Fordham",71.3164,46,70.0201,51,100.852,277,102.755,239,107.182,216,108.04,209,-5.28434,225
"2025","Fresno St.",73.5908,10,72.3646,9,96.9095,327,100.008,293,108.886,247,107.559,199,-7.55143,249
"2025","Furman",66.0639,293,65.07,275,107.654,138,107.889,153,105.484,180,107.246,187,0.643791,163
"2025","Gardner Webb",70.3213,84,68.9958,83,103.623,220,103.163,229,109.287,259,109.182,223,-6.01858,235
"2025","George Mason",65.7303,311,64.4642,306,107.52,143,107.449,161,93.5165,11,95.9393,25,11.5098,70
"2025","George Washington",68.5407,175,68.0725,134,107.689,137,106.098,183,97.7202,39,102.71,103,3.38782,124
"2025","Georgetown",68.1575,193,67.4751,168,105.621,179,107.589,159,95.7666,21,96.7603,33,10.8292,77
"2025","Georgia",69.0106,151,66.1176,228,110.405,87,112.216,79,96.3906,30,94.9849,18,17.2308,41
"2025","Georgia Southern",71.384,45,70.3931,39,101.291,267,100.368,287,107.126,215,108.505,217,-8.1366,258
"2025","Georgia St.",69.9726,99,68.6848,100,101.239,268,102.393,245,114.897,340,114.655,326,-12.2616,306
"2025","Georgia Tech",71.5469,41,69.6121,58,104.365,204,106.759,174,103.081,118,102.513,98,4.24542,110
"2025","Gonzaga",71.6398,39,70.4166,38,122.389,2,124.239,5,98.7767,50,99.5928,57,24.6466,13
"2025","Grambling St.",67.6286,219,64.6607,298,95.3663,337,97.7909,327,109.618,264,112.198,285,-14.4075,322
"2025","Grand Canyon",73.3368,15,71.2824,23,106.88,156,108.198,143,94.4886,15,99.8984,60,8.29933,92
"2025","Green Bay",68.8637,160,68.345,114,100.362,282,101.723,259,117.96,355,118.603,354,-16.8806,338
"2025","Hampton",66.9333,252,64.6713,297,102.879,234,101.415,267,109.816,270,109.432,231,-8.01648,256
